company_sort_id,management_name,management_title,management_department,director_type,management_url
163,Dorita Gilinski,Board of Directors,Director,Executive Director,https://www.metrobankonline.co.uk/contentassets/7a630d0820dd43d7bdcc9632cd20cd70/dorita2.jpg?width=360&format=webp&quality=85
163,Paul Thandi,Board of Directors,Director,Executive Director,https://www.metrobankonline.co.uk/contentassets/33a94ac7172e47f996d10e14aa3fa89f/paul-thandi.jpeg?width=360&format=webp&quality=85
163,Michael Torpey,Board of Directors,Director,Executive Director,https://www.metrobankonline.co.uk/contentassets/e2c1c291269e402ab60797b4cdd3edfb/michael-torpey.jpeg?width=360&format=webp&quality=85
163,Nicholas Winsor,Board of Directors,Director,Executive Director,https://www.metrobankonline.co.uk/contentassets/70c28bbd5ea840719c0ca124b0d213b8/nick-winsor.jpeg?width=360&format=webp&quality=85
163,Carol Frost,Chief People Officer,Human Resource,/,https://www.metrobankonline.co.uk/contentassets/41650e5ab63c42bd99e6a50e1e92d2d5/carol-frost.jpeg?width=360&format=webp&quality=85
163,Faisal Hussain,Chief Operating Officer,Management,/,https://www.metrobankonline.co.uk/contentassets/da08642fbdae4f0791d4a3c9110795bc/faisal-hussain.jpeg?width=360&format=webp&quality=85
163,Aisling Kane,"Managing Director, Retail and Business Banking",Management,/,https://www.metrobankonline.co.uk/globalassets/metrobank-team/executive-leadership-team/aisling-kane-180x180.png?width=360&format=webp&quality=85
163,Kirsten McLeod,Chief Risk Officer,Management,/,https://www.metrobankonline.co.uk/contentassets/f208b14220be4386930fa1babdecdcce/kirsten-mcleod.jpeg?width=360&format=webp&quality=85
163,Kathy Newman,Chief Internal Auditor,Finance,/,https://www.metrobankonline.co.uk/contentassets/256a68ec38a346f9bba1ce4417413bfe/kathy-newman-chief-internal-auditor_resized.jpg?width=360&format=webp&quality=85
163,Richard Saulet,Chief Commercial Officer,Finance,/,https://www.metrobankonline.co.uk/contentassets/9b748a77b4374fcc8f838548c321fa14/richard-saulet.jpeg?width=360&format=webp&quality=85
163,Andy Veares,"Managing Director, Corporate and Commercial",Management,/,https://www.metrobankonline.co.uk/contentassets/09e851a0d7344d6abca15d1ec557ec8e/andy-veares-resized.jpg?width=360&format=webp&quality=85
164,Rubens Menin Teixeira de Souza,Chairman,Director,Executive Director,/
164,Maria Fernanda Menin,Board member,Director,Executive Director,/
164,José Felipe Diniz,Board member,Director,Executive Director,/
164,Alexandre Riccio de Oliveira,Chief Executive Officer,Management,/,/
164,Marco Túlio Guimaraes,Vice President,Management,/,/
164,Priscila Salles Vianna de Paula,Chief Customer and Retail Officer,Product,/,/
164,Guilherme Ximenes de Almeida,Chief Technology Officer,Technology,/,/
164,Thiago Garrides Cabral de Lima,Chief Risk and AML Officer,Management,/,/
